question,answer,timestamp,error,error_type,question_index
What is covered under my home insurance policy?,"Home insurance policies typically cover the following areas:

1. Dwelling Coverage: Protects the physical structure of your home against covered perils such as fire, windstorm, hail, lightning, and vandalism.

2. Other Structures: Covers detached structures on your property like garages, sheds, or fences.

3. Personal Property: Protects your personal belongings inside the home, such as furniture, electronics, and clothing, against covered risks.

4. Liability Protection: Provides coverage if someone is injured on your property and you are found legally responsible.

5. Additional Living Expenses: Covers the cost of living elsewhere if your home is uninhabitable due to a covered loss.

Coverage specifics can vary based on your policy and insurer. For detailed information about what your specific home insurance policy covers, please review your policy documents or contact your insurance representative.

I am an AI assistant here to help with your insurance-related questions.",2025-12-31T15:27:05.598065,False,,0
Can I add a new driver to my policy?,"Yes, you can typically add a new driver to your home insurance policy if your policy includes coverage for vehicles, such as an auto insurance endorsement. However, home insurance policies themselves usually do not cover drivers unless it's part of a bundled auto policy.

If you meant adding a driver to an auto insurance policy linked with your home insurance, you should contact your insurance provider or your company's support team to provide the driver's details. This often includes their name, date of birth, driver's license number, and driving history. Adding a driver may affect your premium.

Please advise the customer to reach out to their insurance representative or use the online portal if available for making such changes.

If you need further assistance or specific policy details, let me know! I'm an AI assistant here to help.",2025-12-31T15:27:09.103979,False,,1
How do I file a claim for water damage?,"To file a claim for water damage, you generally need to follow these steps:

1. **Ensure Safety**: First, make sure everyone in the home is safe and any immediate hazards are addressed.

2. **Document the Damage**: Take photos or videos of the water damage and affected areas. This documentation will support the claim.

3. **Contact the Insurance Company**: Reach out to your home insurance provider as soon as possible. You can usually file a claim via their website, mobile app, or by calling their claims department.

4. **Provide Necessary Information**: Be ready to provide your policy number, details about the incident (date, cause, extent of damage), and any documentation like photos or repair estimates.

5. **Mitigate Further Damage**: Take reasonable steps to prevent additional damage, such as shutting off water sources or making temporary repairs. Keep receipts for any expenses incurred.

6. **Schedule an Adjuster Visit**: An insurance adjuster may need to inspect the damage to assess the claim.

7. **Follow Up**: Keep in touch with the claims representative for updates and provide any additional information they request.

Please note that coverage for water damage can vary depending on the cause (e.g., sudden pipe burst vs. gradual leaks or flooding). It's important to review the specific terms of your policy.

If you need detailed guidance tailored to a specific policy or company procedure, please provide the insurer's name or direct the customer to their home insurance claims department.

I am an AI assistant here to help with your insurance-related questions.",2025-12-31T15:27:12.787910,False,,2
What documents are needed to renew my policy?,"To renew a home insurance policy, typically the following documents may be required:

1. Current Policy Information: Your existing policy number and details.
2. Proof of Property Ownership: Documents like the deed or mortgage statement.
3. Identification: Valid government-issued ID.
4. Updated Property Information: Any changes or updates to the property, such as renovations or additions.
5. Claims History: Information on any claims made during the previous policy period.
6. Payment Information: Details for premium payment.

Requirements can vary depending on the insurer and specific policy. It’s best to check directly with your insurance company or review the renewal notice they provide for precise instructions.

I’m an AI assistant here to help with your home insurance questions!",2025-12-31T15:27:19.284479,False,,3
What is the deductible for windstorm coverage?,"Windstorm coverage deductibles can vary depending on the specific insurance policy and the state regulations where the property is located. Typically, windstorm deductibles are expressed as a percentage of the insured home's value, often ranging from 1% to 5%. For example, if a home is insured for $300,000 and the windstorm deductible is 2%, the deductible amount would be $6,000.

To provide the exact deductible for a particular policy, you'll need to refer to the policy documents or contact the underwriting department. If you provide the policy number (anonymized), I can help guide you on where to find this information.

Please note, I am an AI assistant here to support you with general insurance information.",2025-12-31T15:27:21.919959,False,,4
"What is covered under my home insurance policy?
